ID,Changed?,Article_Snippet,Human_Reference,Baseline_Summary,Baseline_FactCC,Rerank_Summary,Rerank_FactCC,Human_Audit_Baseline_True?,Human_Audit_Rerank_True?,Notes
1141,YES,"A schoolgirl who was arrested by armed officers and held in a cell overnight says she was targeted because police mistook an afro-comb she was carrying for a gun. Rochae Davis says she was walking with friends in Croydon, south London, with the comb tucked into the waistband of her trousers. Police already on their way to the scene were alerted to CCTV footage which they say purported to show the 15-year-old carrying a gun and later arrested her at home. Rochae Davis, 15, pictured with her mothe...","Rochae Davis  was arrested by armed police and held overnight in Croydon .
The 15-year-old said she was carrying an afro-comb in her waistband .
But police say CCTV appeared to show the schoolgirl carrying a gun .
She was bailed without charge as Metropolitan Police inquiries continue .","Rochae Davis, 15, was walking with friends in Croydon, south London, with the comb tucked into the waistband of her trousers .
Police were alerted to CCTV footage which they say purported to show the 15-year-old carrying a gun and later arrested her at home .
She was bailed without charge and must return to a police station in April as the investigation continues .",0.7794240713119507,"Rochae Davis, 15, was arrested by armed officers in Croydon, south London .
She was walking with friends with the comb tucked into the waistband of her trousers .
Police already on their way to the scene were alerted to CCTV footage which they say purported to show the 15-year-old carrying a gun and later arrested her at home .
But the schoolgirl claims she was only arrested because police jumped to conclusions .",0.8366227746009827,,,
201,YES,"A shopper got quite a shock when she picked up a bag of potatoes to find a snake sleeping inside. Lewina Stewart, from Toowoomba in Queensland's south-east, had bought the vegetables at her local Woolworths on March 10 before making the find. Sunshine Coast Snake Catcher 24/7's Ritchie Gilbert told Daily Mail Australia Ms Stewart had the potatoes for a week before she noticed the snake inside when she went to open it. Lewina Stewart got quite a shock when she picked up a bag of potatoes to find ...","Lewina Stewart found a sleeping snake in a bag of potatoes she bought .
Ms Stewart, from Toowoomba, QLD, bought the vegetables a week ago .
Sunshine Coast Snake Catcher 24/7's Ritchie Gilbert removed the snake .
He said it was the strangest place he had ever found a snake .","Lewina Stewart, from Toowoomba in Queensland's south-east, had bought the vegetables at her local Woolworths on March 10 before making the find .
Ms Stewart had the potatoes for a week before she noticed the snake inside when she went to open it .
Woolworths is taking the incident seriously and are trying to find out what went wrong .",9.3179325631354e-05,"Lewina Stewart, from Toowoomba in Queensland's south-east, had bought the vegetables at her local Woolworths on March 10 before making the find .
Ms Stewart had the potatoes for a week before she noticed the snake inside when she went to open it .
Woolworths is taking the incident seriously and are investigating .",0.00036222609924152493,,,
263,YES,"Amir Khan wants to fight Kell Brook within the next year, paving the way for a spectacular return to Wembley Stadium for British boxing. As recently as Monday Khan was talking down the chances of a grudge match between himself and Britain’s other leading welterweight, who has spent years calling out Khan. But now there appears to be a genuine chance of this fight happening, with Khan saying on Tuesday that a meeting is inevitable, either at the end of this year or in 2016. After Kell Brook's vic...","Kell Brook beat Jo Jo Dan with considerable ease at the weekend .
Brook's win has increased public appetite to see him fight Amir Khan .
Khan has repeatedly played down the chances of the fight happening .
Now, Khan has given in and promised to fight Brook in the next 12 months .
Khan: Nobody in America has heard of Brook!
CLICK HERE for all the latest boxing news .","Amir Khan wants to fight Kell Brook within the next year .
Khan has previously refused a fight with Brook, but now promises it will take place within 12 months .
Brook's team are waiting for formal talks to start before they get excited about a fight they have long craved .",0.11271142214536667,"Amir Khan wants to fight Kell Brook within the next year .
Khan has previously refused a fight with Brook, but now promises it will take place within 12 months .
Brook's camp are in talks with Juan Manuel Marquez over a summer fight .",0.956170916557312,,,
1415,YES,"A lovesick American teenager almost died after getting drunk and nearly drowning in a river when he was dumped by a young Chinese woman he flew 7000 miles to visit. The 18-year-old, who was only named by his surname Pratt in Chinese media, had travelled from his home state of Ohio across to Jiangshan, a city in Zhejiang province in China, after becoming infatuated with a young woman he had met online. But after getting the cold shoulder from his online ladylove when he turned up, he started drin...","Lovesick US teen travelled from Ohio to Jiangshan, China, to meet the girl .
Chinese media only published the 18-year-old's surname - Pratt .
After she rejected him he went on a drinking binge but nearly drowned .
He was taken to hospital after being found unconscious near Xu River .","The 18-year-old had travelled from Ohio to Jiangshan, a city in Zhejiang province in China .
But after getting the cold shoulder from his online ladylove when he turned up, he started drinking and was found suffering from hypothermia and unconscious on the staircase leading down into the Xu River .
He was taken to hospital and admitted to police that he did not know the girl's real name, only her online pseudonym which was Xiaoqian, and he also admitted he had only started talking to her this year .",0.0006193442968651652,"The 18-year-old had travelled from Ohio to Jiangshan, a city in Zhejiang province in China .
But after getting the cold shoulder from his online ladylove when he turned up, he started drinking and was found suffering from hypothermia and unconscious on the staircase leading down into the Xu River .
He was taken to a local hospital and admitted to police that he did not know the girl's real name, only her online pseudonym which was Xiaoqian, and he also admitted he had only started talking to her this year .",0.0024970604572445154,,,
408,YES,"A mental health patient was held in a police cell for almost two days because there were no beds available at nearby hospitals, it has emerged. The patient is one of almost 200 people in Wiltshire held by the county's police force in the last two years because there was no suitable healthcare provision. Meanwhile across the UK last year, 7,000 people with mental health problems ended up being held in police cells. Of those, 236 children and young people were detained alongside criminals. Mental ...","Almost 200 mental health patients detained in police cells in Wiltshire .
Nationally, 7,000 mental health patients were held in police cells last year .
Charity brands practice 'scandalous and shameful' and calls for change .","A mental health patient in Wiltshire was held in a police cell for almost two days .
The patient is one of almost 200 people held by the county's police force in the last two years .
Meanwhile across the UK last year, 7,000 people with mental health problems ended up being held in police cells .
Of those, 236 children and young people were detained alongside criminals .",0.0008642103639431298,"A mental health patient in Wiltshire was held in a police cell for almost two days .
The patient is one of almost 200 people held by the county's police force in the last two years .
Meanwhile, 7,000 people with mental health problems ended up being held in police cells, according to mental health charity Rethink Mental Illness .",0.9979764819145203,,,
321,YES,"Kelly Emery, 34, was convicted of the manslaughter of son Fenton Hogan, two, at Nottingham Crown Court after they found she had deliberately fed him methadone to make him sleep . A drug addicted mother who fed her toddler son a heroin substitute to 'knock him out' so she could smoke crack has been jailed for six years. Kelly Emery, 34, was convicted of the manslaughter of son Fenton Hogan, two, at Nottingham Crown Court after a jury heard she had deliberately given her son methadone to make him ...","Kelly Emery, 34, convicted of the manslaughter of Fenton Hogan, two .
Gave him heroin substitute to 'knock him out', so she could smoke crack .
Blood samples taken from the child showed he had as much of the drug on his system as an adult on methadone maintenance therapy .
Tests revealed he had ingested the drug on at least two other occasions .","Kelly Emery, 34, was convicted of the manslaughter of son Fenton Hogan, two, at Nottingham Crown Court .
The mother refused to give evidence at her trial insisting that she had never given her child the drug .
But the seven woman, five man jury cleared her of giving the toddler methadone on two other occasions before his death in July 2013 .",0.003922868054360151,"Kelly Emery, 34, was convicted of the manslaughter of son Fenton Hogan, two, at Nottingham Crown Court .
The mother refused to give evidence at her trial insisting that she had never given her child the drug .
But the seven woman, five man jury cleared her of giving the toddler methadone on two other occasions .
Emery, formerly of Frankley, Birmingham, was given a concurrent 12-month prison sentence after admitting gross neglect .",0.006444859318435192,,,
1450,YES,"Joni Mitchell is 'awake and in good spirits' after being rushed to hospital when she was found unconscious at her home on Tuesday. The 71-year-old singer is currently being treated in intensive care. A message posted on her twitter account read: 'Joni is currenly in intensive care in an LA area hospital but is awake and in good spirits. More updates to come as we hear them.' Scroll down for video . Medical emergency: Joni Mitchell, pictured left in February this year and at the Isle of Wight fes...","911 call placed from inside the singer's home about 2.30pm Tuesday .
She was reported to be unconscious, but paramedics said she was alert when they arrived .
She was taken to intensive care in LA, but her condition remains unknown .
Website urges fans to 'light a candle and sing a song'
Mitchell is known to have a long history of health issues .","Joni Mitchell is 'awake and in good spirits' after being rushed to hospital .
The 71-year-old singer is currently being treated in intensive care .
She has been known to retreat inside her Spanish-style villa and not venture out for extended periods of time .
Her website urged fans to: 'Light a candle and sing a song, let's all send good wishes her way'",0.00028992994339205325,"Joni Mitchell is 'awake and in good spirits' after being rushed to hospital .
The 71-year-old singer is currently being treated in intensive care .
She has been known to retreat inside her Spanish-style villa and not venture out for extended periods of time .
Last year, Mitchell admitted she endured years of turmoil after being diagnosed with the rare condition Morgellons disease .",0.9250431060791016,,,
1488,YES,"A transgender woman whose wife stayed with her through sex change surgery, helped her shop for a new wardrobe and join a dating site is now repaying her  by becoming her carer. Emily Dodge, 62, who was born a man revealed she needed to live as a woman to wife Jean Smith, 68, after the couple, from Cornwall, had been happily married for 20 years. Today Emily describes her relationship with Jean as like 'close sisters' and has pledged to stand by her loyal spouse now that she has   dementia. Emily...","Emily Dodge, 62, was born a man but had surgery to become a woman .
Wife Jean Smith, 68, stood by her husband during transition .
The couple, from Cornwall, have been together for 39 years .
Emily is caring for Jean, who has dementia, saying 'I will never leave her'","Emily Dodge, 62, revealed she needed to live as a woman to wife Jean Smith, 68, after the couple, from Cornwall, had been happily married for 20 years .
Emily describes her relationship with Jean as like 'close sisters' and has pledged to stand by her loyal spouse now that she has   dementia .",0.00019137233903165907,"Emily Dodge, 62, revealed she needed to live as a woman to wife Jean Smith, 68, after the couple, from Cornwall, had been happily married for 20 years .
Emily describes her relationship with Jean as like 'close sisters' and has pledged to stand by her loyal spouse now that she has   dementia .
Jean, a former IT worker, discovered her then 55-year-old husband needed to be a woman .",0.017524903640151024,,,
1932,YES,"The price of olive oil is expected to rocket after the EU ordered the felling of millions of trees infected with a deadly microbe. Brussels has recommended that about 11million olive trees in southern Italy, many centuries old, be chopped down. They have been infected with Xylella fastidiosa, a bacterium spread by an aphid. The disease, first identified in the Americas has already wiped out a million trees in Salento, southern Puglia. Olive trees in southern Puglia in Italy. The EU has recommend...","The EU has recommended that 11million Italian olive trees be cut down .
Comes after a deadly microbe spread by insects was discovered in them .
Fears that unless they are destroyed it will spread to other areas of Italy .
Some of the trees that might have to be chopped down are centuries old .","The EU has recommended that 11million olive trees in southern Italy be cut down .
They have been infected with Xylella fastidiosa, a bacterium spread by an aphid .
The disease has already wiped out a million trees in Salento, southern Puglia in Italy .",0.21545849740505219,"The EU has recommended that 11million olive trees be cut down .
They have been infected with Xylella fastidiosa, a bacterium spread by an aphid .
The disease, first identified in the Americas has already wiped out a million trees in Salento, southern Puglia in Italy .",0.9288241267204285,,,
1592,YES,"Southampton stopped Chelsea from going eight points clear at the top of the Premier League after Dusan Tadic cancelled out Diego Costa's opener at Stamford Bridge. Costa opened the scoring on 11 minutes when he headed past Fraser Forster, but when Nemanja Matic brought down Sadio Mane shortly after, the Saints were gifted a way back into the game. Tadic didn't need asking twice as he slotted the ball past Thibaut Courtois, and the scores remained at 1-1. Find out how each player fared at Stamfor...","Diego Costa opened the scoring for Chelsea in the 11th minute .
The lead didn't last as Nemanja Matic brought down Sadio Mane in the box .
Dusan Tadic levelled from the spot, and the score remained 1-1 .
Mane had the game of his life, while Eden Hazard was also excellent .
Chelsea's defensive pairing of John Tery and Gary Cahill were poor .","Southampton stopped Chelsea from going eight points clear at the top of the Premier League .
Diego Costa opened the scoring on 11 minutes when he headed past Fraser Forster .
Nemanja Matic brought down Sadio Mane shortly after, the Saints were gifted a way back into the game .
Tadic didn't need asking twice as he slotted the ball past Thibaut Courtois, and the scores remained at 1-1 .",0.0010675202356651425,"Southampton stopped Chelsea from going eight points clear at the top of the Premier League .
Diego Costa opened the scoring on 11 minutes when he headed past Fraser Forster .
Nemanja Matic brought down Sadio Mane shortly after, the Saints were gifted a way back into the game .
Toby Alderweireld was one of the finds of the season, and Southampton cannot let him leave .",0.9973028898239136,,,
1665,YES,"Taxpayers had to stump up the $600,000 legal bill for a workers' compensation claim by a public servant who was injured during a motel sex romp it was revealed on Wednesday. The infamous ‘sex-in-a-motel claim’ rumbled on for six years after the woman suffered cuts to her nose and mouth as well as ‘psychological injuries’. This all came about when a glass light fitting was pulled from the wall of the motel room as she had ‘vigorous’ sex with a local man in Nowra in November 2007. Public Service M...","The infamous ‘sex-in-a-motel claim’ rumbled on for six years .
Claimant had cuts to nose and mouth as well as ‘psychological injuries’
This occurred during ‘vigorous’ sex with a local man in Nowra .
The unidentified 'libidinous' bureaucrat lost her case in the High Court .
Legislation introduced on Wednesday should outlaw this type of case .","The 'sex-in-a-motel claim' rumbled on for six years after the woman suffered cuts to her nose and mouth as well as 'psychological injuries'
The unidentified 'libidinous' bureaucrat eventually lost her case in the High Court but left the Commonwealth with a legal bill topping $600,000 .
Public Service Minister Eric Abetz is making changes to the federal workplace insurer aimed at cracking down on ‘rorting and malingering’",0.00011614451068453491,"The 'sex-in-a-motel claim' rumbled on for six years after the woman suffered cuts to her nose and mouth as well as 'psychological injuries'
The unidentified 'libidinous' bureaucrat eventually lost her case in the High Court but left the Commonwealth with a legal bill topping $600,000 .",0.00013990288425702602,,,
1385,YES,"Former Arsenal captain Thierry Henry has got fans guessing after posting picture of himself alongside singer-songwriter Robbie Williams on Twitter, cryptically promising 'something special' ahead of Red Nose Day 2015. The biennial television charity appeal, which is part of the wider Comic Relief campaign, is set to air this year on March 13. Williams, who has had UK No 1 singles with Millennium and Rock DJ, has taken part in previous Red Nose Day shows, and famously appeared dressed as a woman ...","Thierry Henry and Robbie Williams will work together for Red Nose Day .
Former Arsenal captain Henry posted a picture of them on Twitter .
Williams has appeared in Comic Relief sketches before .
Red Nose Day will take place on March 13 .","Thierry Henry posted picture of himself with singer-songwriter Robbie Williams on Twitter .
Henry is Arsenal's all-time leading goalscorer, netting 228 times .
The biennial television charity appeal is part of the wider Comic Relief campaign .",0.999824583530426,"Thierry Henry posted picture of himself with singer-songwriter Robbie Williams on Twitter .
Henry is Arsenal's all-time leading goalscorer, netting 228 times for the north-London club .",0.9998860359191895,,,
607,YES,"Her father has been nicknamed Air Miles Andy. And judging by her nine foreign jaunts since Christmas, it seems Princess Beatrice is keen to follow in his extremely well-trodden footsteps. Despite insisting she is ‘exploring her career options’, the unemployed 26-year-old has found time to jet away for luxury ski trips, sun herself on a Caribbean yacht and party with her friends in Greece. Scroll down for video . Winter getaways: Princess Beatrice was spotted in St Barts at New Year's (left) and ...","Beatrice has been unemployed since quitting Sony Entertainment Pictures .
The 26-year-old royal insists she is now 'exploring her career options'
But she has found time for luxury ski trips and two holidays in Caribbean .","Princess Beatrice has been on nine foreign jaunts since Christmas .
She has been spotted in St Barts at New Year's and later that month on a Caribbean yacht .
Her string of holidays culminated in a flight to New York earlier this week to celebrate her sister Eugenie’s 25th birthday .",0.9786688089370728,"Princess Beatrice has been on nine foreign jaunts since Christmas .
She has been spotted in St Barts at New Year's and later that month on a Caribbean yacht .
Her string of holidays culminated in a flight to New York earlier this week to celebrate her sister Eugenie's 25th birthday .",0.9788678884506226,,,
1453,YES,"The Old Jameson Distillery in Dublin's Smithfield neighbourhood just may be one of the best known whiskey distilleries in the world, despite the fact that it's no longer in operation. Each year, 350,000 tourists pay a visit to the museum, which was once called the Bow Street Distillery, but there are plenty of other stunning distilleries scattered throughout the Irish countryside to see - and some still produce their high-quality spirits to this day. From Cork to County Antrim, celebrate the luc...","Dublin's Old Jameson Distillery is one of the city's largest tourist attractions, despite no longer being in operation .
The Midleton Distillery in Cork is another Jameson property, which dates back to 1795 and is set on 15 acres .
In Northern Ireland, guests are encouraged to keep an eye out for the resident ghost at the Old Bushmills Distillery .","The Old Jameson Distillery in Dublin's Smithfield neighbourhood is one of the best known whiskey distilleries in the world .
Each year, 350,000 tourists pay a visit to the museum, which was once called the Bow Street Distillery .
The museum, now a tourist attraction which has been recreated for effect, is located in the Smithfield district of Dublin .
It is best known for its hour-long tour, where visitors are shown how the world's number one Irish whiskey was first crafted .",0.001997220329940319,"The Old Jameson Distillery in Dublin's Smithfield neighbourhood is one of the best known whiskey distilleries in the world .
Each year, 350,000 tourists pay a visit to the museum, which was once called the Bow Street Distillery .
The museum, now a tourist attraction which has been recreated for effect, is located in the Smithfield district of Dublin .
Visitors can visit and take a tour seven days per week and tickets for entry are €15 for adults .",0.009794896468520164,,,
884,YES,"Manny Pacquiao is training harder than ever as he prepares for his $300million fight against Floyd Mayweather Jnr in May. The Filipino star posted more videos on Instagram from his Los Angeles training camp on Wednesday as he starts to spend more time in the gym in the run-up to the bout. Pacquiao showed off his hand speed inside the ring and out, dancing about and throwing punches before working on the speed ball. VIDEO: Scroll down to watch  videos of Manny Pacquiao training for Mayweather fig...","Filipino fighter shows off impressive hand-speed during training session .
Manny Pacquiao training in LA ahead of $300m Floyd Mayweather bout .
Pacquiao will complete his training at Freddie Roach's Wild Card Gym .
Roach says his fighter must not get distracted by Mayweather's trash-talk .
Mayweather shared pictures as he continued his preparations for the fight .","Manny Pacquiao posted more videos on Instagram from his Los Angeles training camp on Wednesday .
The Filipino star showed off his hand speed inside the ring and out, dancing about and throwing punches before working on the speed ball .
Pacquiao also posted a message for his fans as he ups the intensity with the fight just two months away .",0.009974788874387741,"Pacquiao posted more videos on Instagram from his Los Angeles training camp on Wednesday .
The 36-year-old showed off his hand speed inside the ring and out, dancing about and throwing punches before working on the speed ball .",0.5644524097442627,,,
1323,YES,"Aston Villa are understood to be in detailed negotiations with a prospective buyer as American owner Randy Lerner moves closer to selling the club this summer. Lerner has been publicly looking for a sale since last May, and meaningful conversations have taken place with an interested party. Finding a buyer with Villa in such a perilous position has proved difficult, but the bounce caused by Tim Sherwood’s arrival could accelerate the process. Aston Villa are in negotiations with a prospective bu...","Aston Villa are understood to be in negotiations with a prospective buyer .
Lerner has been publicly looking to sell the club since May last year .
He is believed to want around £150million for the club he acquired in 2006 .
Lerner paid £62.7million for the club, spending £300million since then .","Aston Villa are understood to be in detailed negotiations with a prospective buyer as American owner Randy Lerner moves closer to selling the club this summer .
Lerner has been publicly looking for a sale since last May, and meaningful conversations have taken place with an interested party .
Finding a buyer with Villa in such a perilous position has proved difficult, but the bounce caused by Tim Sherwood's arrival could accelerate the process .",0.000267918745521456,"Aston Villa are understood to be in detailed negotiations with a prospective buyer as American owner Randy Lerner moves closer to selling the club this summer .
Lerner is believed to want around £150million for the club he acquired for £62.7m in 2006 .
Tim Sherwood's instant impact at Villa Park could speed up the sale .",0.004242463503032923,,,
243,YES,"THE CHAPS' VIEW - by Quentin Letts . One of the great mysteries of mankind — and I mean mankind — may have been solved. Scientists from King’s College London have measured 15,000 penises in 16 countries. This work has allowed them, after feeding the findings into computers, making boffinish statistical adjustments, twiddling knobs and squinting at graphs, to announce an average size for chaps’ undercarriage. That, in turn, has been seized on as having psychological significance. Apparently, we m...","Scientists from King’s College measured 15,000 penises in 16 countries .
This allowed them to announce an average size for a man's package .
Here, Quentin Letts gives the men's side of the story .","Scientists from King's College London have measured 15,000 penises in 16 countries .
This work has allowed them, after feeding the findings into computers, to make boffinish statistical adjustments, twiddling knobs and squinting at graphs, to announce an average size for chaps’ undercarriage .
The research demanded at least two readings (one at ease, one standing to quivering attention) for each handsome specimen .",4.556998464977369e-05,"Scientists from King's College London have measured 15,000 penises in 16 countries .
This work has allowed them, after feeding the findings into computers, to make boffinish statistical adjustments, twiddling knobs and squinting at graphs, to announce an average size for chaps’ undercarriage .
The research demanded at least two readings (one at ease, one standing to quivering attention) for each handsome specimen .
But will men have been psychologically affected?",0.02499592863023281,,,
251,YES,Dame Esther (pictured) was giving evidence in trial of Penny Mellor who allegedly sent hundreds of abusive tweets to campaigner Shy Keenan . Childline founder Dame Esther Rantzen has denied that she was told about Jimmy Savile's child sex abuse in 1986 while giving evidence in a cyber stalking trial. Dame Esther today discussed allegations by child sex abuse victim and justice campaigner Shy Keenan that were printed on the front page of the Sun under the headline 'Abuse campaigner: I told Esther...,"Childline founder Dame Esther gave evidence in cyber stalking trial today .
Penny Mellor, 53, is accused of harassing campaigner Shy Keenan .
Ms Keenan told The Sun she told Dame Esther about Savile abuse in 1986 .
Mellor called Dame Esther as witness to challenge Ms Keenan's credibility .
Dame Esther has always denied claim which she says damaged Childline .
Told court she 'would have remembered' if she had been told in 1986 by Ms Keenan that Jimmy Savile and Gary Glitter were child abusers .","Dame Esther was giving evidence in trial of Penny Mellor who allegedly sent hundreds of abusive tweets to campaigner Shy Keenan .
She said she 'would have remembered' if she had been told by Ms Keenan that Saville, Gary Glitter and Jonathan King were child abusers .
Ms Keenan wrote a book in 2008 called Broken, where she told of the abuse she suffered at the hands of her stepfather .",0.0006355330115184188,Dame Esther Rantzen was giving evidence in trial of Penny Mellor who allegedly sent hundreds of abusive tweets to campaigner Shy Keenan .,0.9999861717224121,,,
164,YES,"Manuel Pellegrini believes that Manchester City’s season will not have been ‘a disaster’ even the Premier League champions fail to overhaul Chelsea in the title race. The City boss is under fire after seeing his team crash out of Europe to Barcelona for the second season in a row on Wednesday night. They must beat West Bromwich Albion at the Etihad this lunchtime (sat) to keep the pressure on Jose Mourinho’s side, who are six points clear with a game in hand, and stay clear of the chasing pack. ...","Manuel Pellegrini accepts Manchester City could end season trophyless .
Knocked out of Champions League in last-16 by Barcelona .
Eight points behind Chelsea in Premier League with nine games left .","Manuel Pellegrini is under fire after seeing his team crash out of Europe to Barcelona for the second season in a row .
City must beat West Bromwich Albion at the Etihad this lunchtime (sat) to keep the pressure on Jose Mourinho’s side .
The Premier League champions are six points clear with a game in hand .",0.9995356798171997,"Manuel Pellegrini is under fire after seeing his team crash out of Europe to Barcelona for the second season in a row .
City must beat West Bromwich Albion at the Etihad this lunchtime (sat) to keep the pressure on Jose Mourinho's side .",0.9999715089797974,,,
1085,YES,"Kris Boyd has insisted that even Jose Mourinho himself would have struggled to change Rangers’ fortunes if he were in charge at Ibrox. After their dismal 1-1 draw at home to Livingston on Saturday, the Govan club languish in third position in the Championship table – 24 points behind runaway leaders Hearts – and face an uphill task if they are to secure promotion via the end-of-season play-offs. However, Boyd believes that with the club now on its third manager of a farcical season, the time has...","Rangers are third in the Championship table, 24 points adrift of Hearts .
They drew 1-1 at home to Livingston on Saturday, and face an uphill task to gain promotion back to the top flight via the play-offs .
Kris Boyd believes the players must give themselves a reality check .","Rangers draw 1-1 with Livingston at Ibrox on Saturday .
Kris Boyd believes Jose Mourinho would have struggled to change Rangers' fortunes if he were in charge .
The Govan club languish in third position in the Championship table .
Manager Stuart McCall puts Rangers through their paces in training .",0.011143340729176998,"Rangers draw 1-1 with Livingston at Ibrox on Saturday .
Kris Boyd believes Jose Mourinho would have struggled to change Rangers' fortunes if he were in charge .
The Govan club languish in third position in the Championship table .
Manager Stuart McCall puts Rangers through their paces in training .
Boyd said it would not matter if Chelsea manager Jose Mourinho was in charge at the Scottish club .",0.08010745793581009,,,
1603,YES,"New York state police have launched a public campaign to track down a young woman who allegedly printed off dozens of photos at a Walgreens store without paying. The dark-haired woman reportedly used a self-service photo printer at a Walgreens  in Selden around 3pm on January 14. She apparently thought she could sneakily leave the shop without coughing up cash; however, all of her images were digitally recorded. After an unsuccessful search, authorities have now released one image in a bid to id...","The dark-haired woman reportedly used a self-service photo booth at a Walgreens in Selden, New York, around 3pm on January 14 .
She apparently thought she could sneakily leave the shop without coughing up cash, however, all of her images were digitally recorded .","The dark-haired woman reportedly used a self-service photo printer at a Walgreens in Selden around 3pm on January 14 .
She apparently thought she could sneakily leave the shop without coughing up cash; however, all of her images were digitally recorded .
After an unsuccessful search, authorities have now released one image in a bid to identify the suspect .",9.82717756414786e-05,"The dark-haired woman reportedly used a self-service photo printer at a Walgreens in Selden around 3pm on January 14 .
She apparently thought she could sneakily leave the shop without coughing up cash; however, all of her images were digitally recorded .
Police have now released one image in a bid to identify the suspect .",0.00022240808175411075,,,
86,YES,"The Premier League will have to wait at least three seasons before video technology can be possibly be introduced. It is the Dutch FA (KNVB) who are leading the way in trials of a system to aid referees. However, their bid to introduce the technology in cup matches from next season was rejected by the International Football Association Board (IFAB) last month. Referees chief Mike Riley has called for the arrival of video technology into the Premier League . Given the increasing number of controv...","The Dutch FA  who are leading the way in trials of a system to aid referees .
Their bid to introduce it in cup matches from next season was rejected by the International Football Association Board (IFAB) last month .
FA chairman Greg Dyke has backed expanded use of video technology .","Dutch FA are leading the way in trials of a system to aid referees .
But the IFAB have delayed any decision for 12 months at least .
Dutch FA chairman Greg Dyke has backed any attempts to expand the use of video technology in football .",0.018769294023513794,"Referees chief Mike Riley has called for the arrival of video technology in the Premier League .
But the IFAB have delayed any decision for 12 months at least .
The Dutch FA are leading the way in trials of a system to aid referees .
However, their bid to introduce the technology in cup matches has been rejected .",0.49397027492523193,,,
